Time Step,Health Status,dm,dmdt,domega
1717201229785556277,0.0,[0.52122604],[8.96925933e-09],0.3654052983458696
1717201229843797843,0.0,[1.15313173],[1.97991198e-08],-0.12025476819259695
1717201229844809611,0.0,[1.61988375],[1.60104426e-06],-0.32996346349494965
1717201229959233798,0.0,[1.46491163],[1.2802465e-08],2.7619686090184827
1717201229960229555,0.0,[1.0241544],[1.02851943e-06],-2.5888027594780367
1717201230016989694,0.0,[0.4932997],[8.69095316e-09],0.2124946942650885
1717201230017998366,0.0,[0.73480852],[7.28491768e-07],2.400939827917282
1717201230077862722,0.0,[1.15751538],[1.9335636e-08],-2.6386102308344124
1717201230136216805,0.0,[0.83049669],[1.42320239e-08],2.448299408016933
1717201230252815029,0.0,[1.11027125],[9.52219704e-09],-2.2457771377477034
1717201230312589030,0.0,[2.40156966],[4.01774962e-08],-0.32014120235231325
1717201230313709057,0.0,[2.5217239],[2.25148693e-06],-0.15797164003186903
1717201230430081745,0.0,[0.5330962],[4.5809392e-09],1.5160093324713637
1717201230431125736,0.3504502000777343,[1.61905334],[1.55083223e-06],0.032237860969295484
1717201230490542545,0.0,[2.16019949],[3.63567072e-08],-1.4663207421200373
1717201230549939647,0.8375559354285782,[2.45691352],[4.13641993e-08],-0.016121740083324593
1717201230610271646,0.0,[0.81423703],[1.349594e-08],0.22559263450460343
1717201230668404983,0.0,[1.53750296],[2.64478708e-08],2.6866880663790735
1717201230784623493,0.0,[1.64908482],[1.41895197e-08],-2.750434686268519
1717201230844980642,0.0,[0.45993418],[7.62021055e-09],2.4233947097715856
1717201230845975738,0.0,[2.56985585],[2.58252312e-06],-2.199713861885395
1717201230906235860,0.0,[1.65850055],[2.75223568e-08],-0.43848275649739427
1717201230966473116,0.0,[0.57441584],[9.5358901e-09],1.9764416340822601
1717201231021270227,0.0,[2.49019099],[4.54438379e-08],-0.9117567618375708
1717201231116268927,0.0,[3.24699126],[3.41793235e-08],-0.990455363575911
1717201231171631983,0.0,[0.84990036],[1.53513993e-08],0.13881197089645436
1717201231227063882,0.0,[1.21661492],[2.1947921e-08],2.6647710666207787
1717201231283100369,0.3784125921403777,[1.584043],[2.82680645e-08],0.031536325920680675
1717201231337343379,0.0,[2.7607729],[5.08963818e-08],-2.8033243010184625
1717201231450577193,0.0,[1.06797083],[9.4315541e-09],0.07406070836387155
1717201231451551228,0.0,[1.57794562],[1.62001082e-06],2.6165363657866054
1717201231507848051,0.0,[0.47238017],[8.39088514e-09],-0.40133911955396595
1717201231563961770,0.3039776488422816,[0.39832433],[7.09851969e-09],-0.03337118160707453
1717201231621150759,0.0,[0.56602197],[9.89739432e-09],-0.7588291349137666
